,nct_id,canonical_BioLinkBERT-base_conditions,snomed_termid,linkbert_snomed_term_canonical_conditions,linkbert_cdist_conditions,Top_Concept,Top_Concept_Canonical,Top_Concept_Canonical_First
36382,NCT03424460,venous thromboembolism,429098002,Thromboembolism of vein (disorder),4.8039,"[27550009, 439127006]","['Disorder of blood vessel (disorder)', 'Thrombosis (disorder)']",Disorder of blood vessel (disorder)
36383,NCT03424733,flu-like,6142004,Influenza (disorder),7.2786,"[40733004, 50043002]","['Infectious disease (disorder)', 'Disorder of respiratory system (disorder)']",Infectious disease (disorder)
36384,NCT03424733,flu-like symptoms,6142004,Influenza (disorder),10.3022,"[40733004, 50043002]","['Infectious disease (disorder)', 'Disorder of respiratory system (disorder)']",Infectious disease (disorder)
36387,NCT03425539,fabry disease,16652001,Fabry's disease (disorder),0.005,"[1821000146108, 27550009, 42030000, 55342001, 95320005]","['Hereditary metabolic disease (disorder)', 'Disorder of blood vessel (disorder)', 'Disorder of the genitourinary system (disorder)', 'Neoplastic disease (disorder)', 'Disorder of skin (disorder)']",Hereditary metabolic disease (disorder)
36389,NCT03426085,diabetes,73211009,Diabetes mellitus (disorder),3.8005,"[126877002, 362969004]","['Disorder of glucose metabolism (disorder)', 'Disorder of endocrine system (disorder)']",Disorder of glucose metabolism (disorder)
36390,NCT03426085,type 2 diabetes,44054006,Diabetes mellitus type 2 (disorder),2.965,"[126877002, 362969004]","['Disorder of glucose metabolism (disorder)', 'Disorder of endocrine system (disorder)']",Disorder of glucose metabolism (disorder)
36394,NCT03426891,radiotherapy,399119000,Toxicity due to radiotherapy (disorder),10.5394,"[400209005, 75478009]","['Injury caused by causative force (disorder)', 'Poisoning (disorder)']",Injury caused by causative force (disorder)
36396,NCT03426982,acute thrombosis,65198009,Arterial thrombosis (disorder),8.6686,"[27550009, 439127006]","['Disorder of blood vessel (disorder)', 'Thrombosis (disorder)']",Disorder of blood vessel (disorder)
36397,NCT03426982,coronary syndromes,394659003,Acute coronary syndrome (disorder),7.8749,"[56265001, 48125009, 128487001]","['Heart disease (disorder)', 'Injury of trunk (disorder)', 'Acute disease of cardiovascular system (disorder)']",Heart disease (disorder)
36400,NCT03426982,venous thromboembolism,429098002,Thromboembolism of vein (disorder),4.8039,"[27550009, 439127006]","['Disorder of blood vessel (disorder)', 'Thrombosis (disorder)']",Disorder of blood vessel (disorder)
36415,NCT03428633,open nephrectomy,283905005,Avulsion of kidney (disorder),13.2117,"[284554003, 42030000, 48125009]","['Avulsion - injury (disorder)', 'Disorder of the genitourinary system (disorder)', 'Injury of trunk (disorder)']",Avulsion - injury (disorder)
36416,NCT03429491,sarcopenia,772791006,Sarcopenia (disorder),0.0,"[363058009, 75047002]","['Degenerative disorder of muscle (disorder)', 'Disorder of skeletal muscle (disorder)']",Degenerative disorder of muscle (disorder)
36421,NCT03430388,chronic rheumatic diseases,1148594002,Chronic arthritis due to and following rheumatic fever (disorder),7.0465,"[85828009, 128294001, 88230002]","['Autoimmune disease (disorder)', 'Chronic inflammatory disorder (disorder)', 'Disorder of skeletal system (disorder)']",Autoimmune disease (disorder)
36423,NCT03430388,rheumatic disease,1148597009,Arthritis due to and following rheumatic fever (disorder),6.3431,"[85828009, 88230002]","['Autoimmune disease (disorder)', 'Disorder of skeletal system (disorder)']",Autoimmune disease (disorder)
36424,NCT03430388,rheumatic diseases,1148597009,Arthritis due to and following rheumatic fever (disorder),6.5351,"[85828009, 88230002]","['Autoimmune disease (disorder)', 'Disorder of skeletal system (disorder)']",Autoimmune disease (disorder)
36430,NCT03431402,acute ischaemic stroke,422504002,Ischemic stroke (disorder),7.7331,"[230690007, 389100007]","['Cerebrovascular accident (disorder)', 'Ischemic encephalopathy (disorder)']",Cerebrovascular accident (disorder)
36431,NCT03431402,acute ischemic stroke,422504002,Ischemic stroke (disorder),7.675,"[230690007, 389100007]","['Cerebrovascular accident (disorder)', 'Ischemic encephalopathy (disorder)']",Cerebrovascular accident (disorder)
36432,NCT03431402,acute thermal burn injury,314534006,Thermal burn (disorder),10.2711,"[125666000, 713346006]","['Burn (disorder)', 'Thermal injury (disorder)']",Burn (disorder)
36433,NCT03431402,acute traumatic ischemias,16218291000119100,Acute cerebral ischemia (disorder),10.6718,"[27550009, 128487001]","['Disorder of blood vessel (disorder)', 'Acute disease of cardiovascular system (disorder)']",Disorder of blood vessel (disorder)
36442,NCT03431402,clostridial myositis,80466000,Gas gangrene (disorder),0.0014,"[40733004, 372070002]","['Infectious disease (disorder)', 'Gangrenous disorder (disorder)']",Infectious disease (disorder)
36444,NCT03431402,concussion,110030002,Concussion injury of brain (disorder),4.474,"[127295002, 708540005]","['Traumatic brain injury (disorder)', 'Concussion injury of body structure (disorder)']",Traumatic brain injury (disorder)
36446,NCT03431402,decompression sickness,89684003,Bends (disorder),0.0,"[242056005, 400209005]","['Accidental injury (disorder)', 'Injury caused by causative force (disorder)']",Accidental injury (disorder)
36454,NCT03431402,ischemic stroke,422504002,Ischemic stroke (disorder),0.0039,"[230690007, 389100007]","['Cerebrovascular accident (disorder)', 'Ischemic encephalopathy (disorder)']",Cerebrovascular accident (disorder)
36457,NCT03431402,refractory osteomyelitis,1204420006,Chronic nonbacterial osteomyelitis/chronic recurrent multifocal osteomyelitis (disorder),12.0556,"[58184002, 88230002]","['Recurrent disease (disorder)', 'Disorder of skeletal system (disorder)']",Recurrent disease (disorder)
36461,NCT03431675,"meningitis, meningococcal",192644005,Meningococcal meningitis (disorder),2.192,"[40733004, 7180009]","['Infectious disease (disorder)', 'Meningitis (disorder)']",Infectious disease (disorder)
36462,NCT03431675,meningococcal meningitis,192644005,Meningococcal meningitis (disorder),0.0,"[40733004, 7180009]","['Infectious disease (disorder)', 'Meningitis (disorder)']",Infectious disease (disorder)
36468,NCT03432858,surgical site infections,433202001,Surgical site infection (disorder),1.9986,"[738668004, 40733004]","['Perioperative complication (disorder)', 'Infectious disease (disorder)']",Perioperative complication (disorder)
36471,NCT03433183,neurofibromatosis 1,92824003,Neurofibromatosis type 1 (disorder),0.0048,"[55342001, 95320005, 11164009]","['Neoplastic disease (disorder)', 'Disorder of skin (disorder)', 'Autosomal dominant hereditary disorder (disorder)']",Neoplastic disease (disorder)
36474,NCT03433183,unresectable or metastatic neurofibromatosis type 1,1304118001,Mosaic neurofibromatosis type 1 (disorder),12.5312,"[55342001, 95320005, 11164009]","['Neoplastic disease (disorder)', 'Disorder of skin (disorder)', 'Autosomal dominant hereditary disorder (disorder)']",Neoplastic disease (disorder)
36486,NCT03434262,refractory or recurrent shh medulloblastoma,434541000124109,"Benign childhood epilepsy with centrotemporal spikes, refractory (disorder)",13.2321,"[128613002, 41969006]","['Seizure disorder (disorder)', 'Idiopathic disease (disorder)']",Seizure disorder (disorder)
36490,NCT03435185,migraine,37796009,Migraine (disorder),0.0076,"[27550009, 230461009]","['Disorder of blood vessel (disorder)', 'Headache disorder (disorder)']",Disorder of blood vessel (disorder)
36491,NCT03435185,migraine disorders,37796009,Migraine (disorder),3.8284,"[27550009, 230461009]","['Disorder of blood vessel (disorder)', 'Headache disorder (disorder)']",Disorder of blood vessel (disorder)
36492,NCT03435185,migraine without aura,56097005,Migraine without aura (disorder),0.0,"[27550009, 230461009]","['Disorder of blood vessel (disorder)', 'Headache disorder (disorder)']",Disorder of blood vessel (disorder)
36494,NCT03435861,early ad,416780008,"Primary degenerative dementia of the Alzheimer type, presenile onset (disorder)",7.8447,"[12348006, 26929004]","['Presenile dementia (disorder)', ""Alzheimer's disease (disorder)""]",Presenile dementia (disorder)
36502,NCT03436199,walking impairment,724819000,Functional paraparesis (disorder),13.5465,"[386585008, 44376007, 29426003]","['Functional disorder (disorder)', 'Dissociative disorder (disorder)', 'Paralytic syndrome (disorder)']",Functional disorder (disorder)
36503,NCT03436433,- total resection,550991000124107,Malignant neoplasm in full remission (disorder),13.8688,"[765205004, 55342001]","['Disorder in remission (disorder)', 'Neoplastic disease (disorder)']",Disorder in remission (disorder)
36514,NCT03436472,surgery,44402007,Loss of teeth due to extraction (disorder),12.9254,"[50410009, 76712006]","['Disorder of upper digestive tract (disorder)', 'Disorder of digestive organ (disorder)']",Disorder of upper digestive tract (disorder)
36518,NCT03439670,duchenne muscular dystrophy,76670001,Duchenne muscular dystrophy (disorder),0.0085,"[276654001, 363058009, 75047002]","['Congenital malformation (disorder)', 'Degenerative disorder of muscle (disorder)', 'Disorder of skeletal muscle (disorder)']",Congenital malformation (disorder)
36519,NCT03439670,"muscular dystrophy, duchenne",76670001,Duchenne muscular dystrophy (disorder),2.1429,"[276654001, 363058009, 75047002]","['Congenital malformation (disorder)', 'Degenerative disorder of muscle (disorder)', 'Disorder of skeletal muscle (disorder)']",Congenital malformation (disorder)
36522,NCT03439982,breakthrough episodes of he,699444008,Idiopathic paroxysmal sialorrhea (disorder),12.6202,"[50410009, 76712006, 41969006]","['Disorder of upper digestive tract (disorder)', 'Disorder of digestive organ (disorder)', 'Idiopathic disease (disorder)']",Disorder of upper digestive tract (disorder)
36530,NCT03440814,prader-willi syndrome,89392001,Prader-Willi syndrome (disorder),0.0,"[362969004, 42030000, 276654001]","['Disorder of endocrine system (disorder)', 'Disorder of the genitourinary system (disorder)', 'Congenital malformation (disorder)']",Disorder of endocrine system (disorder)
36536,NCT03442166,i,44588005,I,9.1164,"[312413002, 115669006]","['Substance categorized by structure (substance)', 'Substance categorized by physical state (substance)']",I
36537,NCT03443596,acute ischemic stroke,422504002,Ischemic stroke (disorder),7.675,"[230690007, 389100007]","['Cerebrovascular accident (disorder)', 'Ischemic encephalopathy (disorder)']",Cerebrovascular accident (disorder)
36542,NCT03443596,ischemic stroke,422504002,Ischemic stroke (disorder),0.0039,"[230690007, 389100007]","['Cerebrovascular accident (disorder)', 'Ischemic encephalopathy (disorder)']",Cerebrovascular accident (disorder)
36545,NCT03443973,early (prodromal to mild) ad,230266001,Non-familial Alzheimer's disease of early onset (disorder),9.1298,"[12348006, 26929004]","['Presenile dementia (disorder)', ""Alzheimer's disease (disorder)""]",Presenile dementia (disorder)
36546,NCT03443973,early (prodromal to mild) alzheimer's disease,416780008,"Primary degenerative dementia of the Alzheimer type, presenile onset (disorder)",7.0228,"[12348006, 26929004]","['Presenile dementia (disorder)', ""Alzheimer's disease (disorder)""]",Presenile dementia (disorder)
36552,NCT03444870,early (prodromal to mild) ad,230266001,Non-familial Alzheimer's disease of early onset (disorder),9.1298,"[12348006, 26929004]","['Presenile dementia (disorder)', ""Alzheimer's disease (disorder)""]",Presenile dementia (disorder)
36553,NCT03444870,early (prodromal to mild) alzheimer's disease,416780008,"Primary degenerative dementia of the Alzheimer type, presenile onset (disorder)",7.0228,"[12348006, 26929004]","['Presenile dementia (disorder)', ""Alzheimer's disease (disorder)""]",Presenile dementia (disorder)
36563,NCT03446924,muscle loss,88092000,Muscle atrophy (disorder),6.9637,"[363058009, 75047002]","['Degenerative disorder of muscle (disorder)', 'Disorder of skeletal muscle (disorder)']",Degenerative disorder of muscle (disorder)
36569,NCT03449771,anxio-depressive disorders,231504006,Mixed anxiety and depressive disorder (disorder),9.2646,"[197480006, 35489007]","['Anxiety disorder (disorder)', 'Depressive disorder (disorder)']",Anxiety disorder (disorder)
36572,NCT03449940,penile fracture,110016007,Rupture of corpus cavernosum of penis (disorder),0.0078,"[42030000, 48125009]","['Disorder of the genitourinary system (disorder)', 'Injury of trunk (disorder)']",Disorder of the genitourinary system (disorder)
36574,NCT03450161,coronary artery bypass grafting,429673002,Arteriosclerosis of coronary artery bypass graft (disorder),12.1783,"[56265001, 27550009]","['Heart disease (disorder)', 'Disorder of blood vessel (disorder)']",Heart disease (disorder)
36575,NCT03450161,first time,53875002,First time,13.3736,"[255620007, 115669006]","['Food (substance)', 'Substance categorized by physical state (substance)']",First time
36577,NCT03450161,on-pump coronary artery bypass grafting,429673002,Arteriosclerosis of coronary artery bypass graft (disorder),12.4097,"[56265001, 27550009]","['Heart disease (disorder)', 'Disorder of blood vessel (disorder)']",Heart disease (disorder)
36580,NCT03450161,surgery,44402007,Loss of teeth due to extraction (disorder),12.9254,"[50410009, 76712006]","['Disorder of upper digestive tract (disorder)', 'Disorder of digestive organ (disorder)']",Disorder of upper digestive tract (disorder)
36586,NCT03451591,recurrent lacunar stroke,33331000119103,Sequela of lacunar stroke (disorder),8.3458,"[14817008, 363302008]","['Late effect of injury (disorder)', 'Sequelae of neurological disorders (disorder)']",Late effect of injury (disorder)
36591,NCT03452488,age-related sarcopenia,772791006,Sarcopenia (disorder),5.9072,"[363058009, 75047002]","['Degenerative disorder of muscle (disorder)', 'Disorder of skeletal muscle (disorder)']",Degenerative disorder of muscle (disorder)
36596,NCT03452943,ts,103187003,Ts,10.0685,"[106181007, 312413002]","['Immunologic substance (substance)', 'Substance categorized by structure (substance)']",Ts
36599,NCT03453463,sarco-osteopenia,78314001,Osteogenesis imperfecta (disorder),8.4449,"[276654001, 88230002]","['Congenital malformation (disorder)', 'Disorder of skeletal system (disorder)']",Congenital malformation (disorder)
36600,NCT03453463,sarcopenia,772791006,Sarcopenia (disorder),0.0,"[363058009, 75047002]","['Degenerative disorder of muscle (disorder)', 'Disorder of skeletal muscle (disorder)']",Degenerative disorder of muscle (disorder)
36607,NCT03453749,traumatic brain edema,230763008,Cerebral edema due to trauma (disorder),3.6059,"[127295002, 118654009]","['Traumatic brain injury (disorder)', 'Disorder characterized by edema (disorder)']",Traumatic brain injury (disorder)
