,Neurological Disease,Source,Disease Class
9386,"Meningeal abscess, not elsewhere classified",ICD,Diseases of the nervous system
9387,Meningeal effusion,ICD,Diseases of the nervous system
9388,Meningeal haemorrhage,ICD,Diseases of the nervous system
9389,Meninges Herniation,MeSH,Nervous System Malformations
9390,Meninges Herniations,MeSH,Nervous System Malformations
9391,Meningioma,MeSH,Nervous System Neoplasms
9392,Meningiomas,MeSH,Nervous System Neoplasms
9393,Meningism,MeSH,Neurologic Manifestations
9394,Meningisms,MeSH,Neurologic Manifestations
9395,Meningismus,MeSH|ICD,Diseases of the nervous system|Neurologic Manifestations
9396,"Meningitides, Bacterial",MeSH,Central Nervous System Diseases
9397,"Meningitides, Carcinomatous",MeSH,Nervous System Neoplasms
9398,"Meningitides, Cryptococcal",MeSH,Central Nervous System Diseases
9399,"Meningitides, Escherichia coli",MeSH,Central Nervous System Diseases
9400,"Meningitides, Fungal",MeSH,Central Nervous System Diseases
9401,"Meningitides, Haemophilus",MeSH,Central Nervous System Diseases
9402,"Meningitides, Hemophilus",MeSH,Central Nervous System Diseases
9403,"Meningitides, Listeria",MeSH,Central Nervous System Diseases
9404,"Meningitides, Listeria monocytogenes",MeSH,Central Nervous System Diseases
9405,"Meningitides, Streptococcus pneumoniae",MeSH,Central Nervous System Diseases
9406,"Meningitides, Tubercular",MeSH,Central Nervous System Diseases
9407,"Meningitides, Tuberculosis",MeSH,Central Nervous System Diseases
9408,"Meningitides, Tuberculous",MeSH,Central Nervous System Diseases
9409,"Meningitides, Viral",MeSH,Central Nervous System Diseases
9410,Meningitis Like Reaction,MeSH,Neurologic Manifestations
9411,Meningitis due to Actinomycetales,ICD,Diseases of the nervous system
9412,Meningitis due to Arenavirus,ICD,Diseases of the nervous system
9413,Meningitis due to Behçet disease,ICD,Diseases of the nervous system
9414,Meningitis due to Borrelia burgdorferi,ICD,Diseases of the nervous system
9415,Meningitis due to Coxsackie viruses,ICD,Diseases of the nervous system
9416,Meningitis due to Cryptococcus neoformans,ICD,Diseases of the nervous system
9417,Meningitis due to Cysticercosis,ICD,Diseases of the nervous system
9418,Meningitis due to Enterobacter,ICD,Diseases of the nervous system
9419,Meningitis due to Enterococcus,ICD,Diseases of the nervous system
9420,Meningitis due to Escherichia coli,ICD,Diseases of the nervous system
9421,Meningitis due to Haemophilus influenzae,ICD,Diseases of the nervous system
9422,Meningitis due to Histoplasma capsulatum,ICD,Diseases of the nervous system
9423,Meningitis due to Junin virus,ICD,Diseases of the nervous system
9424,Meningitis due to Klebsiella pneumoniae,ICD,Diseases of the nervous system
9425,Meningitis due to Lassa virus,ICD,Diseases of the nervous system
9426,Meningitis due to Machupo virus,ICD,Diseases of the nervous system
9427,Meningitis due to Mucormycosis,ICD,Diseases of the nervous system
9428,Meningitis due to Nocardia species,ICD,Diseases of the nervous system
9429,Meningitis due to Paramyxovirus,ICD,Diseases of the nervous system
9430,Meningitis due to Polio virus,ICD,Diseases of the nervous system
9431,Meningitis due to Sjögren’s disease,ICD,Diseases of the nervous system
9432,Meningitis due to Staphylococcus,ICD,Diseases of the nervous system
9433,Meningitis due to Staphylococcus aureus,ICD,Diseases of the nervous system
9434,Meningitis due to Streptococcus,ICD,Diseases of the nervous system
9435,Meningitis due to Streptococcus agalactiae,ICD,Diseases of the nervous system
9436,Meningitis due to Streptococcus pneumoniae,ICD,Diseases of the nervous system
9437,Meningitis due to Strongyloides stercoralis,ICD,Diseases of the nervous system
9438,Meningitis due to Treponema pallidum,ICD,Diseases of the nervous system
9439,Meningitis due to Tropheryma Whippelii,ICD,Diseases of the nervous system
9440,Meningitis due to Vogt-Koyanagi-Harada,ICD,Diseases of the nervous system
9441,Meningitis due to Wegener granulomatosis,ICD,Diseases of the nervous system
9442,Meningitis due to adenovirus,ICD,Diseases of the nervous system
9443,Meningitis due to complications of vaccination,ICD,Diseases of the nervous system
9444,Meningitis due to human immunodeficiency virus,ICD,Diseases of the nervous system
9445,Meningitis due to intrathecal medication,ICD,Diseases of the nervous system
9446,Meningitis due to medication,ICD,Diseases of the nervous system
9447,Meningitis due to mumps virus,ICD,Diseases of the nervous system
9448,Meningitis due to other and unspecified causes,ICD,Diseases of the nervous system
9449,Meningitis due to other vasculitides,ICD,Diseases of the nervous system
9450,Meningitis due to rubella virus,ICD,Diseases of the nervous system
9451,Meningitis due to rupture of tumour or cyst,ICD,Diseases of the nervous system
9452,Meningitis due to sarcoidosis,ICD,Diseases of the nervous system
9453,Meningitis due to systemic lupus erythematosus,ICD,Diseases of the nervous system
9454,Meningitis due to unspecified infection,ICD,Diseases of the nervous system
9455,Meningitis in African trypanosomiasis,ICD,Diseases of the nervous system
9456,Meningitis in Chagas disease,ICD,Diseases of the nervous system
9457,"Meningitis, Bacterial",MeSH,Central Nervous System Diseases
9458,"Meningitis, Carcinomatous",MeSH,Nervous System Neoplasms
9459,"Meningitis, Cryptococcal",MeSH,Central Nervous System Diseases
9460,"Meningitis, Escherichia coli",MeSH,Central Nervous System Diseases
9461,"Meningitis, Fungal",MeSH,Central Nervous System Diseases
9462,"Meningitis, Haemophilus",MeSH,Central Nervous System Diseases
9463,"Meningitis, Hemophilus",MeSH,Central Nervous System Diseases
9464,"Meningitis, Listeria",MeSH,Central Nervous System Diseases
9465,"Meningitis, Listeria monocytogenes",MeSH,Central Nervous System Diseases
9466,"Meningitis, Meningococcal",MeSH,Central Nervous System Diseases
9467,"Meningitis, Meningococcic",MeSH,Central Nervous System Diseases
9468,"Meningitis, Pneumococcal",MeSH,Central Nervous System Diseases
9469,"Meningitis, Streptococcus pneumoniae",MeSH,Central Nervous System Diseases
9470,"Meningitis, Tubercular",MeSH,Central Nervous System Diseases
9471,"Meningitis, Tuberculosis",MeSH,Central Nervous System Diseases
9472,"Meningitis, Tuberculous",MeSH,Central Nervous System Diseases
9473,"Meningitis, Viral",MeSH,Central Nervous System Diseases
9474,"Meningitis, not elsewhere classified",ICD,Diseases of the nervous system
9475,Meningitis-Like Reaction,MeSH,Neurologic Manifestations
9476,Meningitis-Like Reactions,MeSH,Neurologic Manifestations
9477,Meningo Oculo Facial Angiomatosis,MeSH,Neurocutaneous Syndromes
9478,Meningo-Oculo-Facial Angiomatosis,MeSH,Neurocutaneous Syndromes
9479,Meningocele,MeSH,Nervous System Malformations
9480,Meningoceles,MeSH,Nervous System Malformations
9481,Meningococcal Meningitis,MeSH,Central Nervous System Diseases
9482,Meningococcal encephalitis,ICD,Diseases of the nervous system
9483,Meningococcal meningitis,ICD,Diseases of the nervous system
9484,Meningoencephalitides,MeSH,Central Nervous System Diseases
9485,Meningoencephalitis,MeSH,Central Nervous System Diseases
9486,Meningoencephalitis due to Toxoplasma gondii,ICD,Diseases of the nervous system
9487,"Meningoencephalocele, Cranial",MeSH,Nervous System Malformations
9488,"Meningoencephaloceles, Cranial",MeSH,Nervous System Malformations
9489,Meningofacial Angiomatosis-Cerebral Calcification Syndrome,MeSH,Neurocutaneous Syndromes
9490,Meningomyelitis due to Syphilis,ICD,Diseases of the nervous system
9491,Meningomyelocele,MeSH,Nervous System Malformations
9492,Meningomyeloceles,MeSH,Nervous System Malformations
9493,Menkea Syndrome,MeSH,Neurologic Manifestations
9494,Menkea Syndromes,MeSH,Neurologic Manifestations
9495,Menkes Disease,MeSH,Neurologic Manifestations
9496,Menkes Kinky Hair Syndrome,MeSH,Neurologic Manifestations
9497,Menkes Syndrome,MeSH,Neurologic Manifestations
9498,Menkes disease,ICD,Diseases of the nervous system
9499,Menkes' Disease,MeSH,Neurologic Manifestations
9500,Menkes' Diseases,MeSH,Neurologic Manifestations
9501,Mental Retardation,MeSH,Neurologic Manifestations
9502,Mental Retardation with Osteocartilaginous Abnormalities,MeSH,Neurologic Manifestations
9503,"Mental Retardation, X Linked",MeSH,Neurologic Manifestations
9504,"Mental Retardation, X-Linked",MeSH,Neurologic Manifestations
9505,"Mental Retardation, X-Linked, Associated With Marxq28",MeSH,Neurologic Manifestations
9506,Mental deafness,ICD,Diseases of the nervous system
9507,Mental disorder affecting disorders or diseases classified elsewhere,ICD,Diseases of the nervous system
9508,"Mental or behavioural disorders associated with pregnancy, childbirth or the puerperium",ICD,Diseases of the nervous system
9509,"Mental or behavioural disorders associated with pregnancy, childbirth or the puerperium, with psychotic symptoms",ICD,Diseases of the nervous system
9510,"Mental or behavioural disorders associated with pregnancy, childbirth or the puerperium, without psychotic symptoms",ICD,Diseases of the nervous system
9511,Meralgia paraesthetica,ICD,Diseases of the nervous system
9512,"Mercurialism, Chronic Childhood",MeSH,Neurotoxicity Syndromes
9513,"Mercurialism, Nervous System",MeSH,Neurotoxicity Syndromes
9514,"Mercurialism, Neurologic",MeSH,Neurotoxicity Syndromes
9515,Mercury Induced Nervous System Diseases,MeSH,Neurotoxicity Syndromes
9516,Mercury Neurotoxicity Syndrome,MeSH,Neurotoxicity Syndromes
9517,Mercury Neurotoxicity Syndromes,MeSH,Neurotoxicity Syndromes
9518,"Mercury Poisoning, Nervous System",MeSH,Neurotoxicity Syndromes
9519,"Mercury Poisoning, Neurologic",MeSH,Neurotoxicity Syndromes
9520,Mercury-Induced Nervous System Diseases,MeSH,Neurotoxicity Syndromes
9521,Meroanencephaly,ICD,Diseases of the nervous system
9522,Merosin or laminin alpha 2 chain deficiency,ICD,Diseases of the nervous system
9523,Mesencephalon stroke,ICD,Diseases of the nervous system
9524,Mesulam Syndrome,MeSH,Central Nervous System Diseases
9525,Mesulam's Syndrome,MeSH,Central Nervous System Diseases
9526,Metabolic Brain Disease,MeSH,Central Nervous System Diseases
9527,Metabolic Brain Diseases,MeSH,Central Nervous System Diseases
9528,"Metabolic Brain Diseases, Inborn",MeSH,Central Nervous System Diseases
9529,Metabolic Brain Disorder,MeSH,Central Nervous System Diseases
9530,Metabolic Brain Disorders,MeSH,Central Nervous System Diseases
9531,Metabolic Brain Syndrome,MeSH,Central Nervous System Diseases
9532,"Metabolic Brain Syndrome, Inborn",MeSH,Central Nervous System Diseases
9533,Metabolic Brain Syndromes,MeSH,Central Nervous System Diseases
9534,"Metabolic Diseases, Inborn, Brain",MeSH,Central Nervous System Diseases
9535,"Metabolic Disorder, Brain",MeSH,Central Nervous System Diseases
9536,"Metabolic Disorders, Brain",MeSH,Central Nervous System Diseases
9537,Metabolic Encephalopathies,MeSH,Central Nervous System Diseases
9538,Metabolic Encephalopathy,MeSH,Central Nervous System Diseases
9539,Metabolic encephalopathy,ICD,Diseases of the nervous system
9540,Metabolic hepatic encephalopathy,ICD,Diseases of the nervous system
9541,Metachromatic Leukodystrophies,MeSH,Central Nervous System Diseases
9542,Metachromatic Leukodystrophy,MeSH,Central Nervous System Diseases
9543,Metachromatic Leukoencephalopathies,MeSH,Central Nervous System Diseases
9544,Metachromatic Leukoencephalopathy,MeSH,Central Nervous System Diseases
9545,Metachromatic leukodystrophy,ICD,Diseases of the nervous system
9546,Metachromatic leukodystrophy due to sphingolipid activator protein I deficiency,ICD,Diseases of the nervous system
9547,"Metatarsalgia, Morton's",MeSH,Neuromuscular Diseases
9548,Methadone abuse,ICD,Diseases of the nervous system
9549,Methadone dependence,ICD,Diseases of the nervous system
9550,Methadone intoxication,ICD,Diseases of the nervous system
9551,Methamphetamine intoxication,ICD,Diseases of the nervous system
9552,Methanol-induced Parkinsonism,ICD,Diseases of the nervous system
9553,Mevalonate Kinase Deficiencies,MeSH,Central Nervous System Diseases
9554,Mevalonate Kinase Deficiency,MeSH,Central Nervous System Diseases
9555,Micro syndrome,ICD,Diseases of the nervous system
9556,"Microangiopathies, Cerebral",MeSH,Central Nervous System Diseases
9557,"Microangiopathy, Cerebral",MeSH,Central Nervous System Diseases
9558,Microcephalic osteodysplastic primordial dwarfism type 2,ICD,Diseases of the nervous system
9559,Microcephalic osteodysplastic primordial dwarfism types 1 and 3,ICD,Diseases of the nervous system
9560,Microcephalies,MeSH,Nervous System Malformations
9561,Microcephaly,MeSH|ICD,Diseases of the nervous system|Nervous System Malformations
9562,Microcephaly - brain defect - spasticity - hypernatremia,ICD,Diseases of the nervous system
9563,Microcephaly - cervical spine fusion anomalies,ICD,Diseases of the nervous system
9564,"Microcephaly, Amish type",ICD,Diseases of the nervous system
9565,"Microcephaly-microcornea syndrome, Seemanova type",ICD,Diseases of the nervous system
9566,Microform holoprosencephaly,ICD,Diseases of the nervous system
9567,Microlissencephaly,ICD,Diseases of the nervous system
9568,Microlissencephaly type A,ICD,Diseases of the nervous system
9569,Microlissencephaly type B,ICD,Diseases of the nervous system
9570,Micromyelia,ICD,Diseases of the nervous system
9571,Micropolygyria,MeSH,Nervous System Malformations
9572,"Micropolygyria, Cerebral",MeSH,Nervous System Malformations
9573,Micropolygyrias,MeSH,Nervous System Malformations
9574,"Micropolygyrias, Cerebral",MeSH,Nervous System Malformations
9575,Microscopic Polyangiitides,MeSH,Central Nervous System Diseases
9576,Microscopic Polyangiitis,MeSH,Central Nervous System Diseases
9577,Micturition-induced epilepsy,ICD,Diseases of the nervous system
9578,Midbrain abscess,ICD,Diseases of the nervous system
9579,Middle Cerebral Artery Circulation Infarction,MeSH,Central Nervous System Diseases
9580,Middle Cerebral Artery Infarction,MeSH,Central Nervous System Diseases
9581,Middle Cerebral Artery Stroke,MeSH,Central Nervous System Diseases
9582,Middle cerebral artery aneurysm,ICD,Diseases of the nervous system
9583,Middle cerebral artery syndrome,ICD,Diseases of the nervous system
9584,Miescher Melkersson Rosenthal Granulomatous Cheilitis,MeSH,Cranial Nerve Diseases
9585,Miescher-Melkersson-Rosenthal Granulomatous Cheilitis,MeSH,Cranial Nerve Diseases
9586,Migraine,MeSH|ICD,Diseases of the nervous system|Central Nervous System Diseases
9587,Migraine Disorder,MeSH,Central Nervous System Diseases
9588,Migraine Disorders,MeSH,Central Nervous System Diseases
9589,Migraine Headache,MeSH,Central Nervous System Diseases
9590,Migraine Headaches,MeSH,Central Nervous System Diseases
9591,"Migraine Syndrome, Ophthalmoplegic",MeSH,Neurologic Manifestations
9592,"Migraine Syndromes, Ophthalmoplegic",MeSH,Neurologic Manifestations
9593,Migraine aura-triggered seizures,ICD,Diseases of the nervous system
9594,Migraine with Aura,MeSH,Central Nervous System Diseases
9595,Migraine with Auras,MeSH,Central Nervous System Diseases
9596,Migraine with aura,ICD,Diseases of the nervous system
9597,Migraine with brainstem aura,ICD,Diseases of the nervous system
9598,Migraine with typical aura,ICD,Diseases of the nervous system
9599,Migraine without Aura,MeSH,Central Nervous System Diseases
9600,Migraine without aura,ICD,Diseases of the nervous system
9601,"Migraine, Common",MeSH,Central Nervous System Diseases
9602,"Migraine, Neuralgic",MeSH,Central Nervous System Diseases
9603,"Migraine, Ophthalmoplegic",MeSH,Neurologic Manifestations
9604,Migraine-induced stroke,ICD,Diseases of the nervous system
9605,Migraines,MeSH,Central Nervous System Diseases
9606,"Migraines, Common",MeSH,Central Nervous System Diseases
9607,"Migraines, Neuralgic",MeSH,Central Nervous System Diseases
9608,"Migraines, Ophthalmoplegic",MeSH,Neurologic Manifestations
